CustomerID,Recency,Frequency,Monetary
KH_10522,66,3,693.83
KH_10738,160,3,926.51
KH_10741,152,5,1157.4
KH_10661,178,3,462.66
KH_10412,41,4,658.33
KH_10679,149,9,28500.0
KH_10627,96,8,224.55
KH_10514,66,8,841.43
KH_10860,336,2,102.76
KH_10137,7,30,8431.51
KH_10812,173,9,856.82
KH_10077,13,33,7070.18
KH_10637,50,68,725.67
KH_10974,263,1,174.49
KH_10939,238,1,29.42
KH_10900,265,1,106.49
KH_10281,40,9,1693.11
KH_10884,351,1,113.31
KH_10762,175,6,905.67
KH_10320,38,22,2322.79
KH_10550,51,5,756.89
KH_10175,60,15,1649.22
KH_10372,4,10,1976.54
KH_10528,52,8,933.97
KH_10211,39,12,2442.83
KH_10236,36,18,34200.5
KH_10102,9,41,4421.12
KH_10987,313,3,90.09
KH_10903,258,1,72.21
KH_10948,220,1,15.0
KH_10347,1,13,1356.68
KH_10140,5,26,5400.01
KH_10622,76,5,814.62
KH_10500,61,8,683.84
KH_10371,54,18,2191.52
KH_10199,22,12,1592.97
KH_10688,201,4,488.94
KH_10585,70,5,675.25
KH_10902,321,2,78.03
KH_10060,18,71,4010.98
KH_10329,36,14,1821.14
KH_10097,14,27,2416.36
KH_10313,39,20,2241.53
KH_10975,240,1,131.45
KH_10300,41,12,2005.92
KH_10278,47,12,1657.35
KH_10925,310,1,98.67
KH_10602,66,7,619.91
KH_10440,88,9,987.91
KH_10838,242,5,949.61
KH_10571,52,6,480.97
KH_10880,365,1,87.51
KH_10262,66,12,568.16
KH_10579,43,6,376.98
KH_10024,3,35,9266.3
KH_10031,8,38,5477.96
KH_10618,60,5,568.25
KH_10011,9,22,5108.17
KH_10222,43,12,1591.83
KH_10821,277,6,763.8
KH_10297,31,15,1885.39
KH_10055,18,18,5465.77
KH_10543,64,7,581.23
KH_10210,23,17,1609.14
KH_10605,75,7,660.69
KH_10693,228,9,345.87
KH_10663,201,6,339.41
KH_10867,240,2,61.46
KH_10071,14,55,5544.12
KH_10544,79,8,696.71
KH_10108,13,25,5243.72
KH_10494,72,5,800.84
KH_10591,64,6,778.33
KH_10742,164,6,1065.36
KH_10293,42,10,2177.43
KH_10290,22,13,1761.64
KH_10653,144,5,890.89
KH_10040,13,17,4485.3
KH_10590,40,4,677.4
KH_10308,16,16,1375.96
KH_10680,196,5,785.07
KH_10067,12,24,5903.37
KH_10276,2,20,1627.81
KH_10068,18,30,5522.67
